Taxon,S.28,S.35,S.42,S.49
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales,0.0022,0.0090,0.0105,0.0027
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,0.0001,0.0000,0.0005,0.0002
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales,0.0000,0.0043,0.0003,0.0000
Bacteria;Proteobacteria;TA18;CV90,0.0001,0.0000,0.0000,0.0000
Bacteria;SR1;Other;Other,0.0018,0.0039,0.0014,0.0034
Bacteria;Spirochaetes;Leptospirae;Leptospirales,0.0008,0.0005,0.0008,0.0004
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales,0.3647,0.4255,0.3109,0.1999
Bacteria;Synergistetes;Synergistia;Synergistales,0.0049,0.0081,0.0046,0.0020
Bacteria;Tenericutes;Mollicutes;Mycoplasmatales,0.0037,0.0049,0.0056,0.0091
Bacteria;Verrucomicrobia;Methylacidiphilae;Methylacidiphilales,0.0000,0.0003,0.0001,0.0001
Bacteria;Verrucomicrobia;Opitutae;Other,0.0000,0.0000,0.0000,0.0000
Bacteria;Verrucomicrobia;Opitutae;HA64,0.0028,0.0007,0.0017,0.0015
Bacteria;Verrucomicrobia;Opitutae;Opitutales,0.0000,0.0002,0.0001,0.0001
Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales,0.0000,0.0002,0.0000,0.0002
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales,0.0000,0.0000,0.0000,0.0000
Bacteria;ZB3;Rs-J96;Other,0.0013,0.0009,0.0003,0.0000
Unassigned;Other;Other;Other,0.0097,0.0129,0.0130,0.0118
Birch,0.0000,0.0000,0.0000,0.0000
Cardboard,0.0000,0.0000,0.0000,0.0000
Maple,0.0000,0.0000,0.0000,0.0000
Oak,0.0000,0.0000,0.0000,0.0000
Original Mulch,0.0000,0.0000,0.0000,0.0000
Spruce,0.1000,0.1000,0.1000,0.1000
