Taxon,OM.14,OM.21,OM.28,OM.35,OM.42,OM.49
Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales,0.0015,0.0038,0.0023,0.0023,0.0037,0.0016
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000
Bacteria;ZB3;Rs-J96;Other,0.0010,0.0009,0.0003,0.0009,0.0007,0.0007
Unassigned;Other;Other;Other,0.0225,0.0169,0.0217,0.0211,0.0234,0.0141
Birch,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Cardboard,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Maple,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Oak,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Original Mulch,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000
Spruce,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
