Taxon,B.0,B.1,B.2,B.3,B.7,B.14,B.21,B.28,B.35,B.42
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales,0.0007,0.0003,0.0022,0.0017,0.0004,0.0014,0.0012,0.0007,0.0002,0.0006
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,0.0000,0.0004,0.0002,0.0003,0.0039,0.0014,0.0003,0.0001,0.0001,0.0025
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Bacteria;Proteobacteria;TA18;CV90,0.0003,0.0000,0.0004,0.0001,0.0000,0.0000,0.0000,0.0001,0.0001,0.0000
Bacteria;SR1;Other;Other,0.0020,0.0030,0.0087,0.0010,0.0019,0.0026,0.0017,0.0009,0.0017,0.0017
Bacteria;Spirochaetes;Leptospirae;Leptospirales,0.0015,0.0014,0.0013,0.0031,0.0017,0.0038,0.0015,0.0007,0.0014,0.0027
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales,0.4992,0.5137,0.3529,0.4981,0.4653,0.2972,0.4069,0.4436,0.4884,0.3985
Bacteria;Synergistetes;Synergistia;Synergistales,0.0100,0.0189,0.0093,0.0087,0.0130,0.0070,0.0195,0.0062,0.0073,0.0136
Bacteria;Tenericutes;Mollicutes;Mycoplasmatales,0.0066,0.0043,0.0078,0.0062,0.0034,0.0018,0.0017,0.0063,0.0062,0.0075
Bacteria;Verrucomicrobia;Methylacidiphilae;Methylacidiphilales,0.0017,0.0007,0.0013,0.0019,0.0001,0.0000,0.0000,0.0000,0.0001,0.0004
Bacteria;Verrucomicrobia;Opitutae;Other,0.0000,0.0001,0.0000,0.0001,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000
Bacteria;Verrucomicrobia;Opitutae;HA64,0.0012,0.0007,0.0018,0.0015,0.0013,0.0004,0.0009,0.0017,0.0006,0.0009
Bacteria;Verrucomicrobia;Opitutae;Opitutales,0.0004,0.0001,0.0000,0.0003,0.0002,0.0008,0.0001,0.0000,0.0001,0.0000
Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales,0.0025,0.0011,0.0014,0.0017,0.0005,0.0000,0.0002,0.0000,0.0005,0.0001
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000
Bacteria;ZB3;Rs-J96;Other,0.0011,0.0007,0.0002,0.0009,0.0006,0.0020,0.0001,0.0001,0.0007,0.0007
Unassigned;Other;Other;Other,0.0203,0.0187,0.0199,0.0208,0.0181,0.0212,0.0127,0.0115,0.0186,0.0186
Birch,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000
Cardboard,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Maple,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Oak,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Original Mulch,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Spruce,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
