Taxon,B.1,B.2,B.3,B.7,B.14,B.21,B.28,B.35,B.42,B.49
Bacteria;Spirochaetes;Leptospirae;Leptospirales,0.0014,0.0013,0.0031,0.0017,0.0038,0.0015,0.0007,0.0014,0.0027,0.0008
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales,0.5137,0.3529,0.4981,0.4653,0.2972,0.4069,0.4436,0.4884,0.3985,0.2218
Bacteria;Synergistetes;Synergistia;Synergistales,0.0189,0.0093,0.0087,0.013,0.007,0.0195,0.0062,0.0073,0.0136,0.0027
Bacteria;Tenericutes;Mollicutes;Mycoplasmatales,0.0043,0.0078,0.0062,0.0034,0.0018,0.0017,0.0063,0.0062,0.0075,0.0015
Bacteria;Verrucomicrobia;Methylacidiphilae;Methylacidiphilales,0.0007,0.0013,0.0019,0.0001,0,0,0,0.0001,0.0004,0.0001
Bacteria;Verrucomicrobia;Opitutae;Other,0.0001,0,0.0001,0.0002,0,0,0,0,0,0.0001
Bacteria;Verrucomicrobia;Opitutae;HA64,0.0007,0.0018,0.0015,0.0013,0.0004,0.0009,0.0017,0.0006,0.0009,0.0003
Bacteria;Verrucomicrobia;Opitutae;Opitutales,0.0001,0,0.0003,0.0002,0.0008,0.0001,0,0.0001,0,0
Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales,0.0011,0.0014,0.0017,0.0005,0,0.0002,0,0.0005,0.0001,0.0001
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales,0,0,0,0,0.001,0,0,0,0,0
Bacteria;ZB3;Rs-J96;Other,0.0007,0.0002,0.0009,0.0006,0.002,0.0001,0.0001,0.0007,0.0007,0.0004
Unassigned;Other;Other;Other,0.0187,0.0199,0.0208,0.0181,0.0212,0.0127,0.0115,0.0186,0.0186,0.0073
Birch,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Cardboard,0,0,0,0,0,0,0,0,0,0
Maple,0,0,0,0,0,0,0,0,0,0
Oak,0,0,0,0,0,0,0,0,0,0
Original Mulch,0,0,0,0,0,0,0,0,0,0
Spruce,0,0,0,0,0,0,0,0,0,0
