Taxon,C.1,C.2,C.3,C.7,C.14,C.21,C.28,C.35,C.42,C.49
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,0.0001,0.0001,0.0021,0.0048,0.0065,0.0019,0.0011,0.0001,0.0015,0.0001
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales,0,0,0,0,0,0,0,0,0.0005,0.0013
Bacteria;Proteobacteria;TA18;CV90,0.0001,0.0004,0.0001,0,0,0.0003,0,0,0,0.0001
Bacteria;SR1;Other;Other,0.0007,0.0008,0.0009,0.0004,0.0056,0.0146,0.0091,0.0014,0.002,0.0044
Bacteria;Spirochaetes;Leptospirae;Leptospirales,0.002,0.0012,0.0019,0.0002,0.0005,0.0002,0,0.0001,0,0.0001
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales,0.4754,0.4374,0.4173,0.119,0.3739,0.2315,0.2261,0.4578,0.5064,0.4006
Bacteria;Synergistetes;Synergistia;Synergistales,0.0119,0.0066,0.0134,0.0048,0.0104,0.0088,0.0059,0.0081,0.0109,0.0126
Bacteria;Tenericutes;Mollicutes;Mycoplasmatales,0.0049,0.0137,0.0061,0.0038,0.0101,0.0217,0.0131,0.019,0.0085,0.0073
Bacteria;Verrucomicrobia;Methylacidiphilae;Methylacidiphilales,0.0011,0.0009,0.0016,0,0.0003,0,0,0,0.0001,0
Bacteria;Verrucomicrobia;Opitutae;Other,0,0,0.0001,0.0006,0,0,0,0,0,0
Bacteria;Verrucomicrobia;Opitutae;HA64,0.002,0.0019,0.0027,0.0004,0.0016,0.0037,0.0015,0.0016,0.001,0.0013
Bacteria;Verrucomicrobia;Opitutae;Opitutales,0.0001,0.0001,0.0001,0,0.0002,0,0,0,0,0.0003
Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales,0.0015,0.0011,0.0013,0,0.0003,0.0001,0,0,0,0
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales,0,0,0,0,0.0001,0,0,0,0,0
Bacteria;ZB3;Rs-J96;Other,0.001,0.0007,0.0007,0.0004,0.0009,0.0002,0.0003,0.001,0.0016,0.0021
Unassigned;Other;Other;Other,0.0164,0.0209,0.0236,0.006,0.0111,0.0097,0.01,0.0096,0.0111,0.0101
Birch,0,0,0,0,0,0,0,0,0,0
Cardboard,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Maple,0,0,0,0,0,0,0,0,0,0
Oak,0,0,0,0,0,0,0,0,0,0
Original Mulch,0,0,0,0,0,0,0,0,0,0
Spruce,0,0,0,0,0,0,0,0,0,0
