Taxon,M.1,M.2,M.3,M.7,M.14,M.21,M.28,M.35,M.42,M.49
Bacteria;SR1;Other;Other,0.0035,0.0039,0.0002,0.0071,0.0027,0.0029,0.0006,0.002,0.0022,0.0023
Bacteria;Spirochaetes;Leptospirae;Leptospirales,0.0027,0.0019,0.0013,0.0024,0.0021,0.0018,0.0013,0.0022,0.0023,0.0019
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales,0.3687,0.3762,0.4463,0.3333,0.422,0.3545,0.4653,0.2298,0.3439,0.299
Bacteria;Synergistetes;Synergistia;Synergistales,0.0157,0.0107,0.0067,0.0133,0.0065,0.0094,0.0042,0.0103,0.0057,0.0043
Bacteria;Tenericutes;Mollicutes;Mycoplasmatales,0.0051,0.0041,0.0069,0.0033,0.0063,0.0053,0.0089,0.0029,0.0066,0.0151
Bacteria;Verrucomicrobia;Methylacidiphilae;Methylacidiphilales,0.0011,0.0017,0.0002,0.0003,0.0001,0,0.0002,0.0005,0.0009,0.0003
Bacteria;Verrucomicrobia;Opitutae;Other,0,0.0001,0,0.0001,0,0,0,0,0,0.0001
Bacteria;Verrucomicrobia;Opitutae;HA64,0.001,0.0018,0.0012,0.001,0.0014,0.0018,0.0023,0.0003,0.0008,0.0023
Bacteria;Verrucomicrobia;Opitutae;Opitutales,0.0008,0.0001,0.0002,0.0015,0.0009,0.0001,0.0002,0.0002,0,0.0002
Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales,0.002,0.001,0.0009,0.0003,0,0.0001,0.0001,0.0003,0.0014,0.0007
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales,0,0,0,0.0001,0.0001,0.0001,0,0,0,0
Bacteria;ZB3;Rs-J96;Other,0.0007,0.0011,0.0006,0.0004,0.0005,0.0001,0.0003,0.0002,0.0004,0.0007
Unassigned;Other;Other;Other,0.0256,0.0193,0.0219,0.0157,0.0197,0.0216,0.0137,0.0092,0.0215,0.036
Birch,0,0,0,0,0,0,0,0,0,0
Cardboard,0,0,0,0,0,0,0,0,0,0
Maple,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Oak,0,0,0,0,0,0,0,0,0,0
Original Mulch,0,0,0,0,0,0,0,0,0,0
Spruce,0,0,0,0,0,0,0,0,0,0
